vin,year,make,model,trim,price,mileage,body_style,seats,features,photo_url,listing_url,location,dealer_phone,doc_fee,stock_number
1GT4UYEY8SF279734,2025,GMC,Sierra 3500HD,Denali Ultimate Crew Cab 4WD,83250,13066,,,Onyx Black; FULL GRAIN LEATHER SEATING SURFACES; ALLISON 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168697/639233542645817896.jpg,https://www.craigandlandrethcars.com/vdp/24168697/Used-2025-GMC-Sierra-3500HD-Denali-Ultimate-Crew-Cab-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48253
1GT4UYEY4SF157467,2025,GMC,Sierra 3500HD,Denali Ultimate Crew Cab 4WD,83000,17466,,,Titanium Rush Metallic; FULL GRAIN LEATHER SEATING SURFACES; ALLISON 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24173897/639233543627430903.jpg,https://www.craigandlandrethcars.com/vdp/24173897/Used-2025-GMC-Sierra-3500HD-Denali-Ultimate-Crew-Cab-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48364
1FMJK1P87TEA15470,2026,Ford,Expedition,MAX King Ranch 4WD,82488,1175,,,Star White Metallic Tri-Coat; 10-Speed Shiftable Automatic; 998; 4WD,https://imagescdn.dealercarsearch.com/Media/1123/24168648/639233541508802570.jpg,https://www.craigandlandrethcars.com/vdp/24168648/Used-2026-Ford-Expedition-MAX-King-Ranch-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48111
1FTFW1RG2SFC60236,2025,Ford,F-150,Raptor SuperCrew 4WD,81700,5980,,,White; Leather; 10 Speed; 3.5L V6 EcoBoost; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24051709/639233644988261777.jpg,https://www.craigandlandrethcars.com/vdp/24051709/Used-2025-Ford-F150-Raptor-SuperCrew-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20946
1GNS6TKL9TR125196,2026,Chevrolet,Tahoe,High Country 4WD,81500,10112,,,Radiant Red Tintcoat; PERFORATED LEATHER SEATING SURFACES; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168674/639233542202684346.jpg,https://www.craigandlandrethcars.com/vdp/24168674/Used-2026-Chevrolet-Tahoe-High-Country-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48356
SAL1P9EU9SA601106,2025,Land Rover,Range Rover Sport,P400 Dynamic,77850,6396,,,Varesine Blue Metallic; Automatic; Straight 6 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168725/639233543335117971.jpg,https://www.craigandlandrethcars.com/vdp/24168725/Used-2025-Land-Rover-Range-Rover-Sport-P400-Dynamic-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47878
1C6SRFUP5TN308711,2026,RAM,1500,RHO Crew Cab 4x4,74800,3868,,,Blue; Leather; 8 Speed Automatic; 3.0L I6; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23922945/639233643969667466.jpg,https://www.craigandlandrethcars.com/vdp/23922945/Used-2026-RAM-1500-RHO-Crew-Cab-4x4-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20825A
1GT40FDA9PU000024,2023,GMC,HUMMER EV,Edition 1,74500,11097,,,Void Black; PREMIUM LEATHER-ALTERNATIVE SEATING SURFACES; NONE (ELECTRIC DRIVE UNIT); Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168694/639233542608614576.jpg,https://www.craigandlandrethcars.com/vdp/24168694/Used-2023-GMC-HUMMER-EV-Edition-1-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48221A
7SVAAABA7SX068969,2025,Toyota,Sequoia,Plantium 4WD,74500,3311,,,Red; Leather; 10 Speed; V6 Hybrid; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23797660/639223275952042298.jpg,https://www.craigandlandrethcars.com/vdp/23797660/Used-2025-Toyota-Sequoia-Plantium-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20731
1GC4KUEY8SF252919,2025,Chevrolet,Silverado 3500HD,LTZ Crew Cab DRW 4WD,72800,15917,,,Black; Leather; 10 Speed; Duramax 6.6L V8 Turbodiesel; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24051711/639233645030603459.jpg,https://www.craigandlandrethcars.com/vdp/24051711/Used-2025-Chevrolet-Silverado-3500HD-LTZ-Crew-Cab-DRW-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20945
5TFMA5DB7TX421765,2026,Toyota,Tundra,1794 CrewMax 4WD,72500,92,,,Wind Chill Pearl; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24213980/639233543728341833.jpg,https://www.craigandlandrethcars.com/vdp/24213980/Used-2026-Toyota-Tundra-1794-CrewMax-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48440
1G1YB3D43M5113695,2021,Chevrolet,Corvette,Stingray 2LT,71500,2286,,,Orange; Leather; 8 Speed Dual Clutch; 6.2L V8; RWD,https://imagescdn.dealercarsearch.com/Media/1129/24051712/639233644995295034.jpg,https://www.craigandlandrethcars.com/vdp/24051712/Used-2021-Chevrolet-Corvette-Stingray-2LT-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20939
2GC4KPEY0T1134972,2026,Chevrolet,Silverado 2500HD,LTZ,71500,9172,,,White; Leather; 10 Speed; Duramax 6.6L V8 Turbodiesel; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23974581/639233643945570740.jpg,https://www.craigandlandrethcars.com/vdp/23974581/Used-2026-Chevrolet-Silverado-2500HD-LTZ-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20869
1G1YA2D48P5140649,2023,Chevrolet,Corvette,1LT Coupe,71300,4097,,,"Arctic White; MULAN LEATHER SEATING SURFACES WITH PERFORATED INS; 8-SPEED DUAL CLUTCH, INCLUDES MANUAL AND AUTO MODE; 8 Cylinder Engine; Rear Wheel Drive",https://imagescdn.dealercarsearch.com/Media/1123/24210286/639233542624359904.jpg,https://www.craigandlandrethcars.com/vdp/24210286/Used-2023-Chevrolet-Corvette-1LT-Coupe-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48385A
1G1Y12D7XH5300266,2017,Chevrolet,Corvette,Grand Sport 3LT,69800,9686,,,Gray; Leather; 8 Speed Paddle Shift with Automatic Modes; 6.2L V8; RWD,https://imagescdn.dealercarsearch.com/Media/1129/24217842/639233499772481680.jpg,https://www.craigandlandrethcars.com/vdp/24217842/Used-2017-Chevrolet-Corvette-Grand-Sport-3LT-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21047
JN8AZ3BB1S9404986,2025,Infiniti,QX80,LUXE 4WD,69700,11425,,,Black; Leather; 9-Speed Automatic; 3.5L V6 DOHC 24V; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23936043/639233644035584736.jpg,https://www.craigandlandrethcars.com/vdp/23936043/Used-2025-Infiniti-QX80-LUXE-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20835
SCCLMDVN9HHA20064,2017,Lotus,Evora 400,2+0,68490,13690,,,Metallic White; 6-SPEED MANUAL SPORTS RATIO; V6 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168811/639233544143205213.jpg,https://www.craigandlandrethcars.com/vdp/24168811/Used-2017-Lotus-Evora-400-20-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48149B
W1NKM8HB8TF492935,2026,Mercedes-Benz,GLC-Class,AMG GLC43,68000,836,,,Polar White; Automatic; 4 Cylinder Engine; 4MATIC,https://imagescdn.dealercarsearch.com/Media/1123/24168723/639233543132691771.jpg,https://www.craigandlandrethcars.com/vdp/24168723/Used-2026-MercedesBenz-GLCClass-AMG-GLC43-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47893
1GKS2GKD6PR337682,2023,GMC,Yukon XL,SLT 4WD,67544,20503,,,Onyx Black; PERFORATED LEATHER-APPOINTED SEATING; Automatic; 8 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218155/639233614739450157.jpg,https://www.craigandlandrethcars.com/vdp/24218155/Used-2023-GMC-Yukon-XL-SLT-4WD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48086
WA1AVBF11SD033631,2025,Audi,Q8,55 Premium quattro,67500,2641,,,Gray; Leather; 8-Speed Automatic with Tiptronic; 3.0L V6 Turbocharged DOHC 24V LEV3-ULEV70 335hp; quattro,https://imagescdn.dealercarsearch.com/Media/1129/24028604/639233644914662695.jpg,https://www.craigandlandrethcars.com/vdp/24028604/Used-2025-Audi-Q8-55-Premium-quattro-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20930
JN8AY3EB6S9102950,2025,Nissan,Armada,Platinum 4WD,66800,4804,,,Super Black; QUILTED LEATHER SEAT TRIM; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24235053/639233544405941105.jpg,https://www.craigandlandrethcars.com/vdp/24235053/Used-2025-Nissan-Armada-Platinum-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48418
1FT8W2BT6NEF40046,2022,Ford,F-250 SD,XL Crew Cab 4WD,66500,51520,,,Star White Metallic Tri-Coat; 10-Speed Shiftable Automatic; 99T; 4WD,https://imagescdn.dealercarsearch.com/Media/1123/24168650/639233542623981657.jpg,https://www.craigandlandrethcars.com/vdp/24168650/Used-2022-Ford-F250-SD-XL-Crew-Cab-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47971
1C6SRFHP2TN249465,2026,RAM,1500,Limited Crew Cab SWB 4WD,65990,8595,,,BLU; EFC; 4WD,https://imagescdn.dealercarsearch.com/Media/1123/24168638/639233541394195992.jpg,https://www.craigandlandrethcars.com/vdp/24168638/Used-2026-RAM-1500-Limited-Crew-Cab-SWB-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48125
1G1YA2D44P5130605,2023,Chevrolet,Corvette,1LT Coupe,65800,6409,,,"Silver Flare Metallic; MULAN LEATHER SEATING SURFACES WITH PERFORATED INS; 8-SPEED DUAL CLUTCH, INCLUDES MANUAL AND AUTO MODE; 8 Cylinder Engine; Rear Wheel Drive",https://imagescdn.dealercarsearch.com/Media/1123/24177916/639233542059357018.jpg,https://www.craigandlandrethcars.com/vdp/24177916/Used-2023-Chevrolet-Corvette-1LT-Coupe-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48371
5YJSA1E69MF438581,2021,Tesla,Model S,Long Range,63800,16021,,,Pearl White Multi-Coat; Automatic; Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168763/639233543625532697.jpg,https://www.craigandlandrethcars.com/vdp/24168763/Used-2021-Tesla-Model-S-Long-Range-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48208
1FTFW5L57TKD06991,2026,Ford,F-150,Lariat SuperCrew 4WD,63200,2249,,,White; Premium Synthetic; 10 Speed; 5.0L V8; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23984671/639233643950107388.jpg,https://www.craigandlandrethcars.com/vdp/23984671/Used-2026-Ford-F150-Lariat-SuperCrew-4WD-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20882
5UX33EM09R9U48773,2024,BMW,X7,M60i,62500,64770,,,Black Sapphire Metallic; FULL MERINO LEATHER UPHOLSTERY; Automatic; 8 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/DealerImages/1123/1123_newarrivalphoto.jpg,https://www.craigandlandrethcars.com/vdp/24168722/Used-2024-BMW-X7-M60i-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48330
1C4JJXSJ9PW694887,2023,Jeep,Wrangler,Unlimited Rubicon 392,61500,51171,,,Punkn Metallic Clearcoat; 8 Speed Automatic; 8 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24250837/639236495310562246.jpg,https://www.craigandlandrethcars.com/vdp/24250837/Used-2023-Jeep-Wrangler-Unlimited-Rubicon-392-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48354A
7PDSGABL1NN003221,2022,Rivian,R1S,Launch Edition,60400,33502,,,Launch Green; Automatic; Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168801/639233544025305509.jpg,https://www.craigandlandrethcars.com/vdp/24168801/Used-2022-Rivian-R1S-Launch-Edition-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47879A
5LM5J7WC3SGL04147,2025,Lincoln,Aviator,Reserve Premium,60300,18100,,,White; Leather; 10 Speed; 3.0L V6; RWD,https://imagescdn.dealercarsearch.com/Media/1129/24175628/639233645973810941.jpg,https://www.craigandlandrethcars.com/vdp/24175628/Used-2025-Lincoln-Aviator-Reserve-Premium-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21003
1C6SRFU91NN315224,2022,RAM,1500,TRX Crew Cab SB 4WD,59850,93494,,,Bright White Clearcoat; 8-SPEED AUTOMATIC (8HP95); 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24234984/639236426032452011.jpg,https://www.craigandlandrethcars.com/vdp/24234984/Used-2022-RAM-1500-TRX-Crew-Cab-SB-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48396A
5YJSA1E69MF453971,2021,Tesla,Model S,Long Range,59800,27889,,,Not Specified; Automatic; Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168721/639233542918163041.jpg,https://www.craigandlandrethcars.com/vdp/24168721/Used-2021-Tesla-Model-S-Long-Range-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48308
2C3CDARP4TR280026,2026,Dodge,Charger,Scat Pack Plus,59800,1430,,,Blue; Leather; 8 Speed Automatic; HO; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24195975/639227883523918298.jpg,https://www.craigandlandrethcars.com/vdp/24195975/Used-2026-Dodge-Charger-Scat-Pack-Plus-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20995A
2C3CDZC91MH618496,2021,Dodge,Challenger,SRT Hellcat Widebody,59800,51317,,,Gray; Leather; 8 Speed Automatic; 6.2L V8 Supercharged; RWD,https://imagescdn.dealercarsearch.com/Media/1129/24109332/639233645190469046.jpg,https://www.craigandlandrethcars.com/vdp/24109332/Used-2021-Dodge-Challenger-SRT-Hellcat-Widebody-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20936A
2C3CDAMP0TR219893,2026,Dodge,Charger,Scat Pack Plus,59400,6249,,,White; Leather; 8 Speed Automatic; HO; AWD,https://imagescdn.dealercarsearch.com/Media/1129/24217860/639232779630453562.jpg,https://www.craigandlandrethcars.com/vdp/24217860/Used-2026-Dodge-Charger-Scat-Pack-Plus-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21048
1HTKJPVK5NH520277,2022,Chevrolet,Silverado Medium Duty,,58400,32987,,,Paint Scheme; CLOTH SEAT TRIM; Automatic; 8 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218163/639233614940198973.jpg,https://www.craigandlandrethcars.com/vdp/24218163/Used-2022-Chevrolet-Silverado-Medium-Duty-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48113C
1GKS2JKL6PR358603,2023,GMC,Yukon XL,Denali 4WD,57900,68716,,,Summit White; PERFORATED LEATHER SEATING SURFACES; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168677/639233542215784697.jpg,https://www.craigandlandrethcars.com/vdp/24168677/Used-2023-GMC-Yukon-XL-Denali-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48131
2T2BBMCA5SC088109,2025,Lexus,RX,350h AWD,57000,30498,,,Cloudburst Gray; CVT; 4 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168830/639233542888750140.jpg,https://www.craigandlandrethcars.com/vdp/24168830/Used-2025-Lexus-RX-350h-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47954A
1FT7W2BT4JEC54251,2018,Ford,F-250 SD,Lariat Crew Cab 4WD,56500,54487,,,White Platinum Metallic Tri-Coat; 6-Speed Shiftable Automatic; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24193293/639235269508700283.jpg,https://www.craigandlandrethcars.com/vdp/24193293/Used-2018-Ford-F250-SD-Lariat-Crew-Cab-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48378
SALEJFFU3R2297114,2024,Land Rover,Defender,P300S,56200,26081,,,Gray; Leather; 8 Speed Automatic; 3.0L I6; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/23901078/639217947756194738.jpg,https://www.craigandlandrethcars.com/vdp/23901078/Used-2024-Land-Rover-Defender-P300S-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20817
1C4RJXFN3TW181113,2026,Jeep,Wrangler,Rubicon X,55200,7811,,,Gray; Leather; 8 Speed Automatic; 2.0L I4 DOHC; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24082185/639229323975896101.jpg,https://www.craigandlandrethcars.com/vdp/24082185/Used-2026-Jeep-Wrangler-Rubicon-X-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20952
1GNSKDKD4PR188156,2023,Chevrolet,Suburban,Z71,55000,66000,,,Black; LEATHER-APPOINTED SEATING SURFACES 1ST AND 2ND ROW; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168699/639233542668411578.jpg,https://www.craigandlandrethcars.com/vdp/24168699/Used-2023-Chevrolet-Suburban-Z71-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47973B
1C4RJHER1T8557922,2026,Jeep,Grand Cherokee,Summit 4WD,54800,3125,,,Bright White Clearcoat; 8-SPEED AUTOMATIC (880RE) TRANSMISSION; 4 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168632/639234698868812065.jpg,https://www.craigandlandrethcars.com/vdp/24168632/Used-2026-Jeep-Grand-Cherokee-Summit-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48336
4JGFB4FB6SB315893,2025,Mercedes-Benz,GLE,GLE 350 4MATIC,54800,13418,,,White; Leather; 9-Speed Automatic; 2.0L I4 Turbocharged; 4MATIC,https://imagescdn.dealercarsearch.com/Media/1129/23929967/639233643976230132.jpg,https://www.craigandlandrethcars.com/vdp/23929967/Used-2025-MercedesBenz-GLE-GLE-350-4MATIC-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20762
2T2HKCEZXSC048003,2025,Lexus,NX 350h,Luxury,54600,16239,,,Red; Leather; CVT; 2.5L I4 DOHC 16V; AWD,https://imagescdn.dealercarsearch.com/Media/1129/23904780/639233643946664507.jpg,https://www.craigandlandrethcars.com/vdp/23904780/Used-2025-Lexus-NX-350h-Luxury-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU20819
1GNSKTKL9NR340477,2022,Chevrolet,Tahoe,High Country 4WD,54500,54006,,,Summit White; PERFORATED LEATHER SEATING SURFACES 1ST AND 2ND RO; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168678/639233542219413044.jpg,https://www.craigandlandrethcars.com/vdp/24168678/Used-2022-Chevrolet-Tahoe-High-Country-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47776A
3C6UR5DL7JG315942,2018,RAM,2500,SLT Crew Cab SWB 4WD,54500,10932,,,Granite Crystal Metallic Clearcoat; 6-SPEED AUTOMATIC (68RFE); Straight 6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168798/639234698834128486.jpg,https://www.craigandlandrethcars.com/vdp/24168798/Used-2018-RAM-2500-SLT-Crew-Cab-SWB-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48167A
1FAGP8FF1S5104724,2025,Ford,Mustang,GT Premium Convertible,54000,891,,,Molten Magenta Metallic Tri-coat; 10-Speed Shiftable Automatic; 8 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168645/639233541800443718.jpg,https://www.craigandlandrethcars.com/vdp/24168645/Used-2025-Ford-Mustang-GT-Premium-Convertible-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48275
7SAXCDE53NF340854,2022,Tesla,Model X,AWD,53800,37391,,,Pearl White Multi-Coat; PREMIUM SEAT TRIM; Automatic; Electric Motor; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168765/639233543740441839.jpg,https://www.craigandlandrethcars.com/vdp/24168765/Used-2022-Tesla-Model-X-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48227
1GC4YRE7XNF266831,2022,Chevrolet,Silverado 2500HD,High Country Crew Cab Long Box 4WD,53770,62276,,,Iridescent Pearl Tricoat; PERFORATED LEATHER SEAT TRIM; 6 Speed Automatic; 8 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24219492/639233615544032915.jpg,https://www.craigandlandrethcars.com/vdp/24219492/Used-2022-Chevrolet-Silverado-2500HD-High-Country-Crew-Cab-Long-Box-4WD-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,D48392
1GNSKRKD0NR296736,2022,Chevrolet,Tahoe,RST 4WD,53500,47050,,,Black; PERFORATED LEATHER SEATING SURFACES 1ST AND 2ND RO; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168693/639233542596267976.jpg,https://www.craigandlandrethcars.com/vdp/24168693/Used-2022-Chevrolet-Tahoe-RST-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D47992A
1G1YM2D76F5107178,2015,Chevrolet,Corvette,Z51 3LT Coupe Automatic,52800,24335,,,Shark Gray Metallic; PERFORATED NAPA LEATHER SEATING SURFACES; 8-SPEED PADDLE SHIFT WITH AUTOMATIC MODES; 8 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24231595/639233542045954316.jpg,https://www.craigandlandrethcars.com/vdp/24231595/Used-2015-Chevrolet-Corvette-Z51-3LT-Coupe-Automatic-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48437
